,2011 Casos,2012 Casos,2013 Casos,2014 Casos,2015 Casos,2016 Casos
"Supermercados,tiendas autoserv.y deptos.espec. por linea de merc.",35958,37657,36303,34585,36598,34398
Const. de obras de infraestructura y edif.en obra pub.,30876,29485,26890,26080,30487,27960
"Compraventa de alimentos bebidas y/o tabaco, con transporte",24874,23655,24183,22449,22526,21609
Servicios profesionales y tecnicos,21749,26582,19926,18354,21666,19959
Preparacion y servicios de alimentos,20723,20920,21246,19833,21331,17723
Servicios de alojamiento temporal,11058,11922,12093,11530,13068,12710
Servicios de proteccion y custodia,7696,7810,8005,7928,9622,8983
Transporte de carga,8332,8506,8803,8580,8990,8176
Fabricacion de productos de plastico,8018,8071,7849,7199,7356,7302
Seguridad social,8718,8705,8109,7227,7320,7196
Construccion de edificaciones; excepto obra publica,6453,6269,5928,6239,7221,6972
"C/v mat. p/const. como madera, aceros y prods. de fer. c/transp. y/o prep. de merc.",6885,7086,6563,6419,6872,6793
Servicios de aseo y limpieza c/maq.y /o equipo motorizado,6425,6547,6306,6166,6751,6555
Fabricacion de otros productos metalicos maquinados,5758,6293,6059,6152,6503,6119
Agricultura ,5903,5772,5949,5984,6445,5801
Varios de frecuencia menor,216721,224173,217812,214523,224316,208568
Varios de frecuencia menor,216721,224173,217812,214523,224316,208568
